date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:35	72118/72118	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2015:12:40%20GMT	https://sandbox.elemisthemes.com/demo18.html	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/demo18.html	(from )
15:21:36	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Nov%202021%2019:15:27%20GMT	https://sandbox.elemisthemes.com/robots.txt		(from )
15:21:36	575/575	---M--	200	added ('OK')	image/png	etag:%2223f-63e65ee8-80ff5008a1c80dea;;;%22	https://sandbox.elemisthemes.com/assets/img/favicon.png	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/img/favicon.png	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:36	139490/139490	---M-Z	200	added ('OK')	text/css	etag:%22220e2-63e65ee8-66a308cc672b5681;gz%22	https://sandbox.elemisthemes.com/assets/css/plugins.css	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/css/plugins.css	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:36	695899/695899	---M-Z	200	added ('OK')	text/css	etag:%22a9e5b-63e65ee8-234b0c92c5c7a63e;gz%22	https://sandbox.elemisthemes.com/assets/css/style.css	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/css/style.css	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:37	12485/12485	---M-Z	200	added ('OK')	text/css	etag:%2230c5-63e673d8-2a7ca585bfbec83c;gz%22	https://sandbox.elemisthemes.com/assets/css/colors/grape.css	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/css/colors/grape.css	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:37	5560/5560	---M-Z	200	added ('OK')	text/css	etag:%2215b8-63e65ee8-4b9b20c189930c76;gz%22	https://sandbox.elemisthemes.com/assets/css/fonts/urbanist.css	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/css/fonts/urbanist.css	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:38	77739/77739	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Mar%202023%2011:47:52%20GMT	https://sandbox.elemisthemes.com/index.html	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/index.html	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:38	1066/1066	---M--	200	added ('OK')	image/png	etag:%2242a-63e65ee8-1ed6afe468afeb15;;;%22	https://sandbox.elemisthemes.com/assets/img/logo-dark.png	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/assets/img/logo-dark.png	(from https://sandbox.elemisthemes.com/demo18.html)
15:21:38	77771/77771	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2015:12:40%20GMT	https://sandbox.elemisthemes.com/demo1.html	C:/Users/user/Desktop/sandbox/Sandbox/sandbox.elemisthemes.com/demo1.html	(from https://sandbox.elemisthemes.com/demo18.html)
